#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.43240254608808861e+01  -2.59056535720062726e+01  1.27143272894301607e+01   +8.83764922508065709e-01  +6.68296021106732779e-02  +1.28774180308373314e+01  +1.46617444478138708e+02  +2.22977106713487018e+02  +6.98113812842732244e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.40912375795154059e+01  -2.59635422978940866e+01  1.36851304093800596e+01   +9.33510569936931378e-01  +3.98495698180964322e-02  +1.63860428631152431e+01  +1.46606584106067942e+02  +2.38011411036487743e+02  +8.24796547567277543e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.38817284862864749e+01  -2.60156421511931129e+01  1.45588532173349687e+01   +9.77288952820608681e-01  +2.14860559407353026e-02  +1.90449914400390341e+01  +1.46639055282524822e+02  +2.93985318733880092e+02  +5.52116307935828416e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.36256618167844472e+01  -2.60793197496697040e+01  1.56267366492798576e+01   +9.93230758599555785e-01  +4.34526130520866485e-02  +2.18632017026051813e+01  +1.46558261476174152e+02  +2.76118429312632463e+00  +2.67963843749425372e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.33463163591458720e+01  -2.61487862207350794e+01  1.67917003932197382e+01   +9.93247791875206176e-01  +7.98478355359070191e-02  +2.46211293575936594e+01  +1.46460036244199216e+02  +1.40779657512623881e+01  +6.08664786192736855e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.30204133252342000e+01  -2.62298304369780162e+01  1.81508247611495968e+01   +9.82467493205956943e-01  +1.34003971057158833e-01  +2.75607708547349830e+01  +1.46373376182953081e+02  +1.41609487734774184e+01  +1.16403080855154116e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.25781163506397888e+01  -2.63398190161648564e+01  1.99953506890544048e+01   +9.72458271304060040e-01  +2.16857124569488524e-01  +3.11653658702050684e+01  +1.46391966213933614e+02  +1.69170284506563995e+01  +1.92621091657679955e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.19961466472260909e+01  -2.64845408308843844e+01  2.24223584889291487e+01   +9.79085382509387259e-01  +3.25474337692933990e-01  +3.53288657247021476e+01  +1.46499986114860434e+02  +1.70741304843874637e+01  +3.00812934767585205e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.10184375454910786e+01  -2.67276734796131876e+01  2.64997315927187209e+01   +9.68748809108316067e-01  +5.46484218944308986e-01  +4.13014366301817404e+01  +1.46425717659241997e+02  +1.66316817959494472e+01  +1.25871495842858053e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -6.89809204532209641e+00  -2.77523039278274410e+01  4.36829468158319258e+01   +9.65429084213479061e-01  +1.85542936991123453e+00  +5.79624504932370854e+01  +1.46559220277102042e+02  +1.47901980071925419e+01  -6.07496386554113542e+02  
