#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.61960450550613828e+01  -2.02085873538896550e+01  1.21017320539477371e+01   +9.37704711595661489e-01  +1.12171847662006802e-01  +1.16502720558316586e+01  +1.46637464191536282e+02  +2.95995453680257640e+02  +1.01220033506272969e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.61473395211405375e+01  -1.98146801957587755e+01  1.30195909329366284e+01   +9.20833686641262195e-01  +1.15546627567746862e-01  +1.51486390784156715e+01  +1.46631762742172583e+02  +2.86776603734627031e+02  +9.34626767978808175e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.61035045406117803e+01  -1.94601637534409875e+01  1.38456639240266295e+01   +9.06076628679868823e-01  +1.20346655685909951e-01  +1.79287854229138262e+01  +1.46603109741112547e+02  +2.81379983802934078e+02  +8.74437041017029770e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.60499284532988504e+01  -1.90268658794970236e+01  1.48553086909144092e+01   +8.94105341460900482e-01  +1.25942961436717987e-01  +2.10599255800027976e+01  +1.46585891179147666e+02  +2.76999471032829888e+02  +8.36995648411398321e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.59914818125938361e+01  -1.85541772897399717e+01  1.59567393457010755e+01   +8.86576140785741096e-01  +1.31928894054908680e-01  +2.42353500659654557e+01  +1.46572530524440793e+02  +2.75276447938509932e+02  +8.30804490891345466e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.59232940651046526e+01  -1.80027072683567440e+01  1.72417417762855258e+01   +8.84419955593504170e-01  +1.38675923270600965e-01  +2.77072442507789312e+01  +1.46556967954576322e+02  +2.76386971465102363e+02  +8.70533651763667535e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.58307535506550501e+01  -1.72542836679080800e+01  1.89856736463644182e+01   +8.89658480704128563e-01  +1.49076909176459382e-01  +3.21107988423374238e+01  +1.46528255719094659e+02  +2.81587181762101011e+02  +1.00734582175158124e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.57089897158529386e+01  -1.62695157725808883e+01  2.12803208438366447e+01   +9.00646086602975182e-01  +1.73658270981566859e-01  +3.74638504974341870e+01  +1.46451831019408104e+02  +2.91261694176057517e+02  +1.34417139443148500e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.55044264733853918e+01  -1.46151057084312086e+01  2.51353281355899760e+01   +9.11214586538432458e-01  +2.60056137861881309e-01  +4.55829138696205973e+01  +1.46357616304319265e+02  +3.10576521186243099e+02  +2.25563603202056129e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.46423385229864422e+01  -7.64294900951469458e+00  4.13814302936933345e+01   +9.52745273361279676e-01  +1.14436070929614875e+00  +6.88873358588396485e+01  +1.46467890868553582e+02  +3.39564570019108089e+02  -4.16734289821749755e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.96883143263133427e+01  -2.57086426170289570e+01  1.28455960777517628e+01   +9.73365139177680638e-01  +3.53204687949340013e-01  +8.20435164299748720e+00  +1.46636480988096054e+02  +3.38491811426305958e+02  +3.39767890071943100e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.99082448901811127e+01  -2.57378166329857194e+01  1.38206752662640415e+01   +9.75830447429026471e-01  +4.10189843036495416e-01  +1.12339243905285855e+01  +1.46594917127286692e+02  +3.40255477470179471e+02  +2.25288793303860118e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.01061823976621028e+01  -2.57640732473468042e+01  1.46982465359250885e+01   +9.76705701318476671e-01  +4.44147635009732311e-01  +1.36115195598815486e+01  +1.46499124069476551e+02  +3.40685143696088119e+02  +5.56291460508902276e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.03481060179166491e+01  -2.57961646648992442e+01  1.57708336432885936e+01   +9.73020550738791790e-01  +4.90776291546324184e-01  +1.62082137535936148e+01  +1.46440143437786020e+02  +3.41144165153540314e+02  +9.29072571884787948e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.06120226945579681e+01  -2.58311734840473548e+01  1.69409286695033288e+01   +9.70021746346359293e-01  +5.42996091855925678e-01  +1.87484304647246525e+01  +1.46416502270025632e+02  +3.41902834000242876e+02  +1.31939269001903597e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.09199254839728432e+01  -2.58720171063868243e+01  1.83060395334205168e+01   +9.67983817527239498e-01  +6.06200733792686464e-01  +2.14210966753747805e+01  +1.46413861450811936e+02  +3.42800552490363941e+02  +1.76818139640259858e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.13377935553216034e+01  -2.59274477367046714e+01  2.01586899915938424e+01   +9.66620743710610131e-01  +6.97875012646368531e-01  +2.46680564145034715e+01  +1.46433413349574494e+02  +3.43877041106896002e+02  +2.36431508779734457e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.18876199649910212e+01  -2.60003827765965774e+01  2.25963879628745303e+01   +9.66397683171664523e-01  +8.30724636035096498e-01  +2.84291854964534458e+01  +1.46482094319897556e+02  +3.45003630114173461e+02  +3.08049520300483721e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.28113283332356467e+01  -2.61229136436149787e+01  2.66917205546260945e+01   +9.68466756354070979e-01  +1.08778613305986638e+00  +3.37420857288319311e+01  +1.46547545758149056e+02  +3.46320911164145400e+02  -1.93920333129466655e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.67040993136951386e+01  -2.66392937260496687e+01  4.39506221912933910e+01   +9.72720207105972068e-01  +2.63109258710756500e+00  +4.82319462801403205e+01  +1.46563228566125701e+02  +3.48832504574398683e+02  -1.55089222612736057e+03  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.95704564230623923e+01  -2.14143471061960611e+01  1.22591539085920687e+01   +9.36417281145515812e-01  +2.45397901584345240e-01  +9.05328746203717571e+00  +1.46497701626014049e+02  +3.20497268299551479e+02  +2.26444065287385740e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.97813209943723933e+01  -2.11131906982426010e+01  1.31891221610151383e+01   +9.26229975003032946e-01  +2.66903262887511927e-01  +1.23361052333739813e+01  +1.46439815137497419e+02  +3.17797367195644256e+02  +2.41017553594344861e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.99710991085513960e+01  -2.08421499310844851e+01  1.40260935881959004e+01   +9.19368111175911551e-01  +2.82821782808326372e-01  +1.49360843125515075e+01  +1.46418280655821121e+02  +3.16194234605943791e+02  +2.52085933726891824e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.02030501369923989e+01  -2.05108778823356808e+01  1.50490586658612759e+01   +9.12848984917182471e-01  +3.01996615204929819e-01  +1.78109633897176742e+01  +1.46404936868311609e+02  +3.15141026466350638e+02  +2.66471575180808998e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.04560876225644002e+01  -2.01494901927915251e+01  1.61650205687689628e+01   +9.08215245112015457e-01  +3.23974958840743510e-01  +2.06778108363935580e+01  +1.46405733836350436e+02  +3.14769842116333905e+02  +2.84816865122968352e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.07512980223984052e+01  -1.97278712216566809e+01  1.74669761221612632e+01   +9.06265478672786617e-01  +3.51780255884332871e-01  +2.37590459708941673e+01  +1.46426503978506645e+02  +3.14893257532199073e+02  +3.10488664088020187e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.11519407078874089e+01  -1.91556740465451085e+01  1.92339158017650895e+01   +9.08028452689207954e-01  +4.01622185128663656e-01  +2.75769768481545263e+01  +1.46522856942749002e+02  +3.14813718682618799e+02  +3.53201761303944977e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.16791021361624132e+01  -1.84027830266614565e+01  2.15588364328227655e+01   +9.11388182721668216e-01  +4.76418994239206028e-01  +3.20388814955190142e+01  +1.46479337965264108e+02  +3.17914343890969690e+02  +5.80480318760784471e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.25647333356644211e+01  -1.71379261132569205e+01  2.54647030929996561e+01   +9.04088057689750202e-01  +6.38307028897889039e-01  +3.87391589584915224e+01  +1.46385730038877597e+02  +3.21609789695574989e+02  +1.84822032343261412e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -2.62970362478514659e+01  -1.18074576924806696e+01  4.19251411608879891e+01   +9.10871566264992549e-01  +1.75701236081384682e+00  +5.78743603430913325e+01  +1.46498060561692682e+02  +3.31765598314915167e+02  -5.33589031070495025e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.22264443079525158e+01  -2.40144768666917123e+01  1.22561506049883597e+01   +9.93959840585382004e-01  +7.07611000565406267e-02  +1.30863590743312361e+01  +1.46576769502868387e+02  +1.32442338735536094e+01  +5.02965214490984920e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.18723848704079114e+01  -2.39133304403148372e+01  1.31858878340572971e+01   +9.87965700475313846e-01  +7.19422201667583167e-02  +1.63095250986100027e+01  +1.46537672735726574e+02  +2.74158218828431082e+01  +3.24668751472226944e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.15537313766177689e+01  -2.38222986565756543e+01  1.40226513402193405e+01   +9.80768066302884045e-01  +7.74934407055396790e-02  +1.88802480573147804e+01  +1.46519293119155236e+02  +3.72848716022780167e+01  +2.25798883039980254e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.11642659953187042e+01  -2.37110375875610941e+01  1.50453622921951737e+01   +9.71833995938695017e-01  +8.81147484543141901e-02  +2.17598862731975338e+01  +1.46498034637631008e+02  +4.51499044666090157e+01  +1.92529741211414525e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.07393946702651810e+01  -2.35896618759088454e+01  1.61610469670779011e+01   +9.63586118628685928e-01  +1.02322681105948568e-01  +2.46753213943784075e+01  +1.46467750429110794e+02  +4.93279452873598103e+01  +2.54848656229913395e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -1.02437114577027337e+01  -2.34480568789812267e+01  1.74626790877744149e+01   +9.56125357519833075e-01  +1.21239701568951877e-01  +2.78641215065690027e+01  +1.46420932697696713e+02  +4.96379514836239579e+01  +4.38901990033094407e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -9.57099852636798865e+00  -2.32558786688651686e+01  1.92291798230053956e+01   +9.45100010148945624e-01  +1.56739359490952523e-01  +3.19245024049619772e+01  +1.46366958992662973e+02  +4.56767110290348342e+01  +8.32356284644389888e+01  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -8.68584993250648019e+00  -2.30030126029229898e+01  2.15535228956777374e+01   +9.34513028515113420e-01  +2.20538999910417616e-01  +3.68700996014422628e+01  +1.46380958667313053e+02  +4.18372084717271591e+01  +1.48686208469156384e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -7.19880029481914541e+00  -2.25781976121401264e+01  2.54584192577672788e+01   +9.43607648599204651e-01  +3.46576826437469732e-01  +4.41996164488144103e+01  +1.46505997217751002e+02  +3.51632624403252976e+01  +2.88930776409602913e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -9.31948250279660328e-01  -2.07879058652694901e+01  4.19147682122874770e+01   +9.46033733350563399e-01  +1.34917412335775722e+00  +6.53496074404925338e+01  +1.46540888573589854e+02  +2.18150631473484538e+01  -1.64455878616812811e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -9.93094155693819403e+00  -1.98960260105511075e+01  9.75562191280919855e+00   +7.03758194728938968e-01  +1.62996813400859170e-01  +1.23322872055721700e+01  +1.46441129514682416e+02  +1.77930585167316366e+02  +3.41422806822547386e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -9.40030498470018117e+00  -1.94780756721634205e+01  1.04930107809412778e+01   +6.41212016888885405e-01  +2.18720507003638209e-01  +1.55983121926067785e+01  +1.46481812633425420e+02  +1.72762667563397798e+02  +2.91812415092385834e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -8.92273206968596888e+00  -1.91019203676145004e+01  1.11566607622601506e+01   +6.00956721456060272e-01  +2.48431953345842588e-01  +1.83386953139252853e+01  +1.46546976926274851e+02  +1.71178275349071043e+02  +2.53507740208454805e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -8.33903184022415545e+00  -1.86421749953880465e+01  1.19677885172054363e+01   +5.58890180462150443e-01  +2.81465681864829287e-01  +2.15529852435672744e+01  +1.46565405420851107e+02  +1.70843386929387407e+02  +2.14595323806336410e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -7.70226795353854143e+00  -1.81406345893228220e+01  1.28526551589639322e+01   +5.21898816985237324e-01  +3.13212490908796326e-01  +2.49713875752297021e+01  +1.46563881198496205e+02  +1.70397984987795780e+02  +1.81680611903157455e+02  
-1.23272461843845725e+08  8.13468431618729085e+07   -1.12253482754422603e+04  -6.95937675240532272e+00  -1.75555041155800566e+01  1.38849995743488464e+01   +4.89952904304373160e-01  +3.42600899350948007e-01  +2.88967041048838311e+01  +1.46548792745801791e+02  +1.69575696680808221e+02  +1.53961467905528536e+02  
