#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.75614427402151101e+01  -1.96985642395698832e+01  1.18967585164049865e+01   +6.22152674224940583e-01  +2.40599250369254530e-01  +1.00874192588116092e+01  +1.46576524874577359e+02  +2.00415877281838760e+02  +2.46655136376054116e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.75762087315299951e+01  -1.93001250722582078e+01  1.28138344104576394e+01   +6.07191684133289833e-01  +2.54321001665347657e-01  +1.40665823689278717e+01  +1.46540016106390851e+02  +2.02353806697959470e+02  +2.33676864394778420e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.75894981237133905e+01  -1.89415298216777011e+01  1.36392027151050250e+01   +6.04790220418146340e-01  +2.58667792996126300e-01  +1.72475646582431992e+01  +1.46509992026992848e+02  +2.04357685691716682e+02  +2.33447760238024557e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.76057407141597650e+01  -1.85032467376348571e+01  1.46479861985629416e+01   +6.09563444908512553e-01  +2.58547653870238092e-01  +2.07753668502282629e+01  +1.46474201280909540e+02  +2.07184041859761805e+02  +2.41373203972015233e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.76234599037376256e+01  -1.80251197368608516e+01  1.57484772714261219e+01   +6.20571823754021534e-01  +2.54751891753420667e-01  +2.42910682070484718e+01  +1.46428060373735292e+02  +2.10969138965851414e+02  +2.56506519602598246e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.76441322915784653e+01  -1.74673049026245053e+01  1.70323835230998348e+01   +6.38410547564424280e-01  +2.46955296682711878e-01  +2.80741693170297850e+01  +1.46362234108056555e+02  +2.16949080176479356e+02  +2.79501753264082822e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.76721876750767457e+01  -1.67102704847323267e+01  1.87748277217998698e+01   +6.72787131873440414e-01  +2.27061504478263648e-01  +3.28082432837424349e+01  +1.46291989861349720e+02  +2.28122991589110512e+02  +3.16935701316598283e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.77091026533639599e+01  -1.57141725664531400e+01  2.10675174569314976e+01   +7.33969306518714282e-01  +2.12752423392380347e-01  +3.84483986508773157e+01  +1.46442844632345100e+02  +2.42122798585152680e+02  +2.00528261023547003e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.77711198168864755e+01  -1.40407280637441101e+01  2.49192362119526294e+01   +8.32549152918509727e-01  +2.38833706089343789e-01  +4.63566869105034414e+01  +1.46447932402935294e+02  +2.79013318527240472e+02  +1.42011662304167828e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.80324778631599401e+01  -6.98835480232748552e+00  4.11514795366845476e+01   +9.25955140348083461e-01  +1.13478812710354204e+00  +6.86917734387898520e+01  +1.46448335065446372e+02  +3.32370160606580043e+02  -3.90016504237008448e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.10002820760962550e+01  -1.55014979761823497e+01  8.21451666541832459e+00   +5.29643906107386653e-01  +3.25906375077926136e-01  +2.09623134996223959e+00  +1.46742898773114888e+02  +2.06079919672555974e+02  +1.68261443245704839e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.12795741701712302e+01  -1.47802075578408658e+01  8.84834318631815542e+00   +4.77488653259127094e-01  +3.79647882519085711e-01  +5.11784296575771158e+00  +1.46666226947995938e+02  +2.07828393511773015e+02  +1.28624450564433317e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.15309370548387058e+01  -1.41310461813335309e+01  9.41878705512799996e+00   +4.46339763896869024e-01  +4.14851060322592835e-01  +7.76074997575697267e+00  +1.46597954868023749e+02  +2.08901968953487341e+02  +1.09525454638950734e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.18381583583211771e+01  -1.33376267211578980e+01  1.01159962281178153e+01   +4.20064387954687590e-01  +4.47529647768509120e-01  +1.08994898361901065e+01  +1.46577358221402847e+02  +2.10184970505757690e+02  +9.83221059340526864e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.21733088712111446e+01  -1.24720782191481163e+01  1.08765880531976116e+01   +3.99997565269250177e-01  +4.75186686119613677e-01  +1.41912496755498925e+01  +1.46566952388324864e+02  +2.11550387411487151e+02  +9.64172090871109901e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.25643178029161078e+01  -1.14622716334700385e+01  1.17639451824573751e+01   +3.83966850659491599e-01  +5.00625368544026728e-01  +1.78957561537198302e+01  +1.46563257204765364e+02  +2.13197251198310454e+02  +1.03832433649047147e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.30949727816585550e+01  -1.00918198386212215e+01  1.29682155721670540e+01   +3.69344885138352841e-01  +5.28452724704724042e-01  +2.26791910074757226e+01  +1.46543141282412108e+02  +2.15354356195927551e+02  +1.26906585761078773e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.37932030168459896e+01  -8.28859379276751085e+00  1.45527818744166293e+01   +3.58690954105066240e-01  +5.58810867660030408e-01  +2.87048719265065380e+01  +1.46497544157578716e+02  +2.18476347803265014e+02  +1.75048104579207063e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.49662298119608792e+01  -5.25917403573327746e+00  1.72148532621959198e+01   +3.53376880419290607e-01  +6.05249546080273038e-01  +3.82311287758786165e+01  +1.46337513813331441e+02  +2.25046792120663753e+02  +2.92611272621699470e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.99096998770879061e+01  7.50766636891098926e+00   2.84335826821229176e+01   +4.66389696930420594e-01  +9.08015034060757897e-01  +6.92914348397425925e+01  +1.46345201055084686e+02  +2.63575310013883040e+02  +3.00405419557466189e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.72372330853316704e+01  -1.66485556556900960e+01  1.00372892267860099e+01   +5.09338225068393879e-01  +3.31472199792127387e-01  +5.39209951876666782e+00  +1.46687139039235120e+02  +1.97502575032057337e+02  +1.35459213430458789e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.72270598724247499e+01  -1.60155004434645960e+01  1.08113290216372011e+01   +4.55449604875726777e-01  +3.83495854889266241e-01  +9.29513021411089468e+00  +1.46587601146273897e+02  +1.97723790122051838e+02  +8.33292254397699850e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.72179039808085257e+01  -1.54457507524616418e+01  1.15079648370032732e+01   +4.25131840720096688e-01  +4.13666097099481045e-01  +1.26507044925130270e+01  +1.46510753643755976e+02  +1.97637918073289683e+02  +5.47372261985504380e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.72067134466109160e+01  -1.47493900190135889e+01  1.23594086113395818e+01   +4.01628991104526267e-01  +4.35152424559525131e-01  +1.65565090583975945e+01  +1.46412391462278066e+02  +1.97590522472233658e+02  +3.34466845251911309e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.71945055911226135e+01  -1.39897237643429868e+01  1.32882563651610113e+01   +3.86910194719732869e-01  +4.46472064255460488e-01  +2.06054047880136153e+01  +1.46325429080105863e+02  +1.98173738063186050e+02  +2.10490020277564724e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.71802630930529290e+01  -1.31034464672272808e+01  1.43719120779526772e+01   +3.77885878598732794e-01  +4.56434276951330209e-01  +2.51077294785120557e+01  +1.46289124160217284e+02  +1.99459938112851290e+02  +1.66847882209292813e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.71609339885297842e+01  -1.19006415639988248e+01  1.58425876881699406e+01   +3.74700165027301524e-01  +4.71678235577719207e-01  +3.09149634969212599e+01  +1.46354922958175024e+02  +2.01687013438699609e+02  +2.43006046118756558e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.71355009562624900e+01  -1.03180035334350659e+01  1.77776871752979204e+01   +3.87005688251970181e-01  +4.75003971862283492e-01  +3.80232387714087210e+01  +1.46499577750322430e+02  +2.06391513604003450e+02  +5.30082581551342429e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.70927734620534331e+01  -7.65917164208795143e+00  2.10286543136729200e+01   +4.34432961087943215e-01  +4.47570634198527828e-01  +4.87001008012879595e+01  +1.46526439634796702e+02  +2.15085130440953947e+02  +1.43983471093789319e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -1.69127075936009845e+01  3.54590561430345375e+00   3.47291586825389942e+01   +7.52579955577074244e-01  +6.42526155733322835e-01  +7.91354308281478183e+01  +1.46398995817728377e+02  +2.92643653249995680e+02  +1.37797856891555597e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.24475312950171642e+01  -2.22139980736638520e+01  1.16416087075924040e+01   +8.20220312158137399e-01  +1.65372211966899912e-01  +1.04423555869176337e+01  +1.46643321124116966e+02  +2.57313381301815241e+02  +5.83156201759470676e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.28381502520860558e+01  -2.20090538166670981e+01  1.25390576932748559e+01   +8.35807586341640429e-01  +1.85550760126256875e-01  +1.34443299580644062e+01  +1.46619852177174891e+02  +2.69712496405168451e+02  +8.75317266970133829e+01  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.31897073134480536e+01  -2.18246039853700218e+01  1.33467617803890608e+01   +8.46345551279018782e-01  +2.06489686474711276e-01  +1.57996651343573724e+01  +1.46555866836079275e+02  +2.77341195947254334e+02  +1.19529546215477453e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.36193881662238319e+01  -2.15991653026735939e+01  1.43339556646397597e+01   +8.50125561967238985e-01  +2.42571123925725357e-01  +1.83115884659772448e+01  +1.46443802432827908e+02  +2.85124839717520558e+02  +1.61790721049428782e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.40881309147065004e+01  -2.13532321942774885e+01  1.54108944474587020e+01   +8.51295415208469186e-01  +2.87717981563628600e-01  +2.08076294570420650e+01  +1.46385911455423724e+02  +2.92605051720840208e+02  +2.09709962491877207e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.46349974546029458e+01  -2.10663102344820352e+01  1.66673230274141382e+01   +8.53842986087793188e-01  +3.42898741424109144e-01  +2.34503376644189281e+01  +1.46372027650182787e+02  +2.99843177048772645e+02  +2.67770800194230844e+02  
-1.23265705396572560e+08  8.13535537503271997e+07   -1.44240892626009263e+04  -2.53771734730338352e+01  -2.06769161461882049e+01  1.83724761002107968e+01   +8.67678657641891449e-01  +4.19912542493769581e-01  +2.66738446000970235e+01  +1.46496950705303362e+02  +3.05495760968656953e+02  +3.50732682420544336e+02  
