#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.30445782672704880e+01  -2.50390329025425160e+01  1.14876221487239896e+01   +9.73603486174228427e-01  +3.49176429805321542e-01  +7.50052301933828414e+00  +1.46647592551251478e+02  +3.38792686430129493e+02  +3.36766336278131291e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.35239699119751613e+01  -2.50327464561831405e+01  1.23652007102098089e+01   +9.73196311428298988e-01  +4.17992759943689673e-01  +1.01042848964072984e+01  +1.46589420665166642e+02  +3.38545530484135156e+02  +2.93831359136587658e+01  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.39554223922093676e+01  -2.50270886544597033e+01  1.31550214155470453e+01   +9.68540265516789067e-01  +4.65155285064955626e-01  +1.21405554336144892e+01  +1.46485956159825292e+02  +3.37293064528679906e+02  +7.09322286793779710e+01  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.44827532013845115e+01  -2.50201735634643931e+01  1.41203578331814477e+01   +9.60650568920898396e-01  +5.26412471948120908e-01  +1.43596731730420490e+01  +1.46434832868995642e+02  +3.36451244923917102e+02  +1.17140236236246949e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.50580231750301152e+01  -2.50126298278331447e+01  1.51734521069644295e+01   +9.54426377255965241e-01  +5.92603353539801647e-01  +1.65279858455932320e+01  +1.46417566331269256e+02  +3.36012182146962118e+02  +1.64454481760745864e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.57291714776166600e+01  -2.50038288029300197e+01  1.64020620930445773e+01   +9.49158756810587589e-01  +6.70713392977821621e-01  +1.88079543342394544e+01  +1.46417994944059132e+02  +3.35749489838850934e+02  +2.16676381726527666e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.66400156025555361e+01  -2.49918845548472106e+01  1.80694613598676312e+01   +9.44015829245293814e-01  +7.80673050850837491e-01  +2.15755203142893244e+01  +1.46434973386292654e+02  +3.35598355125732212e+02  +2.81383925650976153e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.78384947143172212e+01  -2.49761684389487755e+01  2.02634077635821797e+01   +9.39499885042500593e-01  +9.34725948768521997e-01  +2.47783189858845105e+01  +1.46468098789707625e+02  +3.35567844498187412e+02  +3.47126777238256636e+02  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.98519396220768449e+01  -2.49497653642394077e+01  2.39492377218226196e+01   +9.34989380041189366e-01  +1.22122667474920621e+00  +2.93221195951806024e+01  +1.46512322519252677e+02  +3.35691003949238734e+02  -8.10734817392370104e+01  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -3.83371717333495567e+01  -2.48384952636784853e+01  3.94823782601216138e+01   +9.25284653354112918e-01  +2.82800086943931195e+00  +4.19115891287707498e+01  +1.46552446127338101e+02  +3.36484789258288004e+02  -1.96803790852867451e+03  
-1.23269339197998554e+08  8.13453374603393525e+07   -1.41201758008067918e+04  -2.29821206113452661e+01  -3.13427589110044984e+01  9.68234552230818579e+00   +9.85356607513897198e-01  +5.13070757602706595e-01  +2.57700956328016373e+00  +1.46619314210040557e+02  +3.54947833229890421e+02  +1.11601790382478583e+02  
