#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.79275646754155389e+01  -1.56133533098393116e+01  9.02583576392110487e+00   +7.85649628150009605e-01  +1.12051679973249108e-01  +1.26466965586160622e+01  +1.46458127439587656e+02  +2.02370934234772761e+02  +2.09718052100662860e+01  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.80373535261338311e+01  -1.49066233299654360e+01  9.72474859382583112e+00   +7.13658241302102092e-01  +1.66309610522657386e-01  +1.57107588120932373e+01  +1.46354468993669030e+02  +2.08589567376410230e+02  +3.25258005101507536e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.81361634917802945e+01  -1.42705663480789511e+01  1.03537701407400853e+01   +6.66989793862522440e-01  +2.10144865311440138e-01  +1.81538948850008026e+01  +1.46375565415029087e+02  +2.08096403796337199e+02  +2.90906215170810640e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.82569312275704156e+01  -1.34931633702176903e+01  1.11225742536352818e+01   +6.26106636657177362e-01  +2.46517426547613244e-01  +2.09555149420459230e+01  +1.46436106940237238e+02  +2.08430336033524753e+02  +2.57420536982550004e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.83886778484323656e+01  -1.26450873943690425e+01  1.19612696495209541e+01   +5.90271058478252786e-01  +2.79121202573227256e-01  +2.38905781484834776e+01  +1.46473237125823317e+02  +2.09982809705526051e+02  +2.29517396857027848e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.85423822394379734e+01  -1.16556654225456189e+01  1.29397476113875687e+01   +5.57211851077542342e-01  +3.12173963116145758e-01  +2.72195679465735836e+01  +1.46491698142586642e+02  +2.11928861923060651e+02  +2.07646642243204411e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.87509810558027255e+01  -1.03128784607852602e+01  1.42676819882065473e+01   +5.25065653957324519e-01  +3.48974292601118508e-01  +3.16438561394896354e+01  +1.46497029689178930e+02  +2.14523924779276484e+02  +1.93726497084729601e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.90254531825984543e+01  -8.54605351110057754e+00  1.60149640629683603e+01   +5.00054740611189041e-01  +3.85744528178351587e-01  +3.73453750240020241e+01  +1.46480848771130894e+02  +2.18177603132232036e+02  +1.98676307250193105e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -1.94865663556152811e+01  -5.57778759563031201e+00  1.89503979485682095e+01   +4.87717152376254237e-01  +4.30191751379702392e-01  +4.65856120753753444e+01  +1.46387364761637713e+02  +2.26141748284990001e+02  +2.55865698209345595e+02  
-1.23264534918207690e+08  8.13435724096802622e+07   -7.39904778135276865e+03  -2.14298290133290443e+01  6.93133304813724394e+00   3.13211550378818444e+01   +6.42197901983208141e-01  +7.34684710637305671e-01  +7.69535640516798907e+01  +1.46388126644031303e+02  +2.79740420818929977e+02  +1.80144135560342988e+02  
