#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.49108266297657135e+01  -2.44237074131577501e+01  1.28472216118879565e+01   +8.32932466767633328e-01  +9.77357419934872518e-02  +1.25561825933385762e+01  +1.46561818353508244e+02  +2.20659401550417499e+02  +4.45954906653454159e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.47235041197362637e+01  -2.43667184588038097e+01  1.38278655515102393e+01   +8.60587372305265053e-01  +8.33915119538282124e-02  +1.62402033723504573e+01  +1.46545916761327760e+02  +2.25217737595908233e+02  +5.73788205959868733e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.45549138607097603e+01  -2.43154283998852634e+01  1.47104450971702949e+01   +8.95098023484961702e-01  +6.61217579755087603e-02  +1.90645579255029993e+01  +1.46560277348846938e+02  +2.35026292671668500e+02  +6.87841736946083699e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.43488590996773659e+01  -2.42527405500959290e+01  1.57891534307548049e+01   +9.41963708386838405e-01  +4.56161867739175650e-02  +2.21095773004618046e+01  +1.46582157559012671e+02  +2.61864879248368993e+02  +7.21893886165781424e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.41240720876420252e+01  -2.41843538048712006e+01  1.69659261583015457e+01   +9.79808756337563702e-01  +4.26174923623225191e-02  +2.50680613923715043e+01  +1.46580895233908308e+02  +3.15275595256864051e+02  +5.59515394029596251e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.38618205736007951e+01  -2.41045692687756876e+01  1.83388276737727409e+01   +9.93789858042301355e-01  +6.94227266655740027e-02  +2.81957231911851771e+01  +1.46483795342236476e+02  +3.47580867426937232e+02  +7.13563635368217746e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.35059078045448402e+01  -2.39962902555032009e+01  2.02020511590550811e+01   +9.86580692054484065e-01  +1.32945367549402393e-01  +3.20799550928993469e+01  +1.46371719003914365e+02  +3.57240170270569877e+02  +1.31371420971292963e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.30376015294712175e+01  -2.38538178696183500e+01  2.26536610081107881e+01   +9.80297871908182183e-01  +2.33992632814414958e-01  +3.66648196137499696e+01  +1.46398834930170750e+02  +4.44012180848499760e+00  +2.23328319008508288e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -1.22508469873475292e+01  -2.36144642613318005e+01  2.67723655545243737e+01   +9.91186640530274388e-01  +4.27210763456236708e-01  +4.30788429925356127e+01  +1.46450604326356057e+02  +7.06221599068293493e+00  +3.92921114897386161e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -8.93523855982626714e+00  -2.26057597692670669e+01  4.41297632858387701e+01   +9.81081991555514454e-01  +1.67047981371297793e+00  +6.11990127543748201e+01  +1.46544503774434190e+02  +7.62435539791050054e+00  -4.09304271310738955e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.11262896327492875e+01  -2.24263753713015710e+01  1.22319406845515068e+01   +7.80493694785910574e-01  +2.02414737539746148e-01  +8.29104150131725071e+00  +1.46643027877933889e+02  +2.54486429755260531e+02  +5.26352664861652215e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.14170796614108809e+01  -2.22157454906510026e+01  1.31652553220709851e+01   +7.91366409601521048e-01  +2.19901600334384606e-01  +1.18205759276114808e+01  +1.46638953525971658e+02  +2.63109139924195858e+02  +7.75267256697787985e+01  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.16787906872063161e+01  -2.20261785980654921e+01  1.40052384958385154e+01   +8.03314358912397553e-01  +2.32971308714495479e-01  +1.45787005215692478e+01  +1.46565471694646988e+02  +2.69349041139970609e+02  +1.04784889678587390e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.19986597187340713e+01  -2.17944857293498657e+01  1.50318845971099435e+01   +8.15595126761271438e-01  +2.54313715376086880e-01  +1.75684211679335576e+01  +1.46482687283212414e+02  +2.76373464658397836e+02  +1.41764762984429836e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.23476077531279813e+01  -2.15417298725691815e+01  1.61518621621333196e+01   +8.24575600211577830e-01  +2.84977683809152504e-01  +2.04816461521657551e+01  +1.46412124784286277e+02  +2.83932739125358012e+02  +1.84126363168135327e+02  
-1.23269992781396464e+08  8.13542421726435572e+07   -1.20248442389702577e+04  -2.27547137932542185e+01  -2.12468480396583850e+01  1.74585026546605917e+01   +8.33194958434303801e-01  +3.27006087918503163e-01  +2.35382037222315930e+01  +1.46369197407128809e+02  +2.92228619921857501e+02  +2.35879066354494256e+02  
