#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.31869707248125287e+01  -1.59755309879215961e+01  7.07517563168820018e+00   +7.45932015436447715e-01  +1.55168337500812964e-01  +1.11022242131277160e+01  +1.46424913135867115e+02  +2.23568838760225930e+02  +3.51958163370315447e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.36877527929657603e+01  -1.53115602866407432e+01  7.63047755682153106e+00   +6.98868967572330635e-01  +2.03825557316179934e-01  +1.33626058592481467e+01  +1.46370303368388619e+02  +2.30052594718561352e+02  +3.32400503325318368e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.41384566543036669e+01  -1.47139866554879752e+01  8.13024928944153125e+00   +6.66823940796241632e-01  +2.42218136263392336e-01  +1.50794899056018377e+01  +1.46328604047411346e+02  +2.33313738930068240e+02  +3.26660586192372818e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.46893169292722234e+01  -1.39836188840790374e+01  8.74108140708819725e+00   +6.35967024712060125e-01  +2.82196795050284666e-01  +1.69759429504662549e+01  +1.46308878223406168e+02  +2.36189089533767657e+02  +3.28300589264969176e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.52902554110561013e+01  -1.31868540425420164e+01  9.40744371724819395e+00   +6.09536635762953249e-01  +3.19045988655833557e-01  +1.89085480010196108e+01  +1.46303023570648719e+02  +2.38475205950817781e+02  +3.38094396583207867e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.59913503064706291e+01  -1.22572950607488220e+01  1.01848664124348591e+01   +5.85196517043498066e-01  +3.59503775267315528e-01  +2.10688235123756833e+01  +1.46351722065927760e+02  +2.39552226370172747e+02  +3.58379765585476946e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.69428362359617708e+01  -1.09957507283152012e+01  1.12399400701881902e+01   +5.59346282647565474e-01  +4.27403921511109897e-01  +2.38452550399649859e+01  +1.46527115058020826e+02  +2.42725849176309055e+02  +3.50385837983473820e+01  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -2.81947914063448479e+01  -9.33582397511307072e+00  1.26281948830215214e+01   +5.37531206118221583e-01  +4.87244997860394824e-01  +2.73380678713939353e+01  +1.46517832183401310e+02  +2.46432964322048321e+02  +9.95400257027068562e+01  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -3.02980760925884240e+01  -6.54714702973349105e+00  1.49604629685815134e+01   +5.02126881188646790e-01  +5.96838151030333108e-01  +3.31125472326384767e+01  +1.46380746782364184e+02  +2.51363601486361375e+02  +2.38896126934103478e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -3.91619186989006351e+01  5.20513438293759378e+00   2.47893070434414931e+01   +4.70823263528820701e-01  +1.14200225663407195e+00  +5.46816979637506790e+01  +1.46311049229708914e+02  +2.71129300970371958e+02  -1.13532856462580085e+02  
-1.23261630892515793e+08  8.13465349951291978e+07   -6.66697262406482787e+03  -1.68685844848227902e+01  -1.47543130818244723e+01  8.33474238044073346e+00   +6.40581341439437346e-01  +2.18594636051201996e-01  +1.21718886483409481e+01  +1.46529495834720365e+02  +1.74900657201615473e+02  +2.86247671179102838e+02  
