#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.81378917865349649e+01  -3.64375582370597684e+01  5.96373567819372674e+00   +9.85309173116691750e-01  +3.20833711675591826e-01  +8.73315746468897380e+00  +1.46580759547766661e+02  +1.03218888480590039e+01  +3.04158052931401528e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.82130579451992176e+01  -3.73228044922211737e+01  6.42274451940963509e+00   +9.83801349746243003e-01  +4.53603055389162457e-01  +9.67945780100122910e+00  +1.46466639590224190e+02  +1.18691289447641317e+01  +5.79015798568856113e+01  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.82807074879970450e+01  -3.81195261218664356e+01  6.83585247650395367e+00   +9.72214395391011954e-01  +5.66705776823099305e-01  +1.03155772282506479e+01  +1.46484217954001082e+02  +1.25768938287374610e+01  +1.43515709550290637e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.83633902625277230e+01  -3.90932970025439843e+01  7.34076220184145267e+00   +9.61349116678746451e-01  +6.95840654979893336e-01  +1.09721791070784960e+01  +1.46792858436732416e+02  +1.33026380099808250e+01  +2.30465778706081267e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.84535896529248227e+01  -4.01555925087376693e+01  7.89157281130054233e+00   +9.56571686892023099e-01  +8.27901060672978084e-01  +1.16162225563980588e+01  +1.47631278052635707e+02  +1.33548445327770828e+01  +3.04335016554719402e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.85588222750547764e+01  -4.13949372659636339e+01  8.53418518900281242e+00   +9.60301533402845742e-01  +9.78387741802319022e-01  +1.21260116860955485e+01  +1.48002862392339750e+02  +1.34132684353223404e+01  +3.57535418634491180e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.87016379765168566e+01  -4.30769051507703011e+01  9.40630198731303757e+00   +9.62576039775037695e-01  +1.18350978455589551e+00  +1.27214158411875804e+01  +1.48136704418072043e+02  +1.36783396891088795e+01  -6.07558370523870082e+01  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.88895533731774847e+01  -4.52900207886738144e+01  1.05538240903528102e+01   +9.63388546928211298e-01  +1.45702513857411198e+00  +1.34271205833684650e+01  +1.47932244610992541e+02  +1.43132801858236114e+01  -2.38394969896132579e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.92052512395673425e+01  -4.90080550603517082e+01  1.24816612234596231e+01   +9.61110921003083818e-01  +1.93055051013028467e+00  +1.45137114901218727e+01  +1.47416088808629326e+02  +1.54853526278460123e+01  -6.94629554674787869e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.05356922479246009e+01  -6.46769137767085596e+01  2.06061177129812023e+01   +9.47492118503544645e-01  +4.22890982924520920e+00  +1.80014429741130968e+01  +1.46753646750626302e+02  +1.80424868154575897e+01  -4.57668674362357251e+03  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.22408568124565171e+01  -3.25172238028156073e+01  9.24954488844483613e+00   +9.69917304205184849e-01  +1.80999432638901059e-01  +1.15894541217326239e+01  +1.46464572512269513e+02  +3.35868737042786051e+02  +1.81029012856565828e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.26316356654224293e+01  -3.31009058707274590e+01  9.96130828429544657e+00   +9.77243601954796981e-01  +2.97580384688672483e-01  +1.35038874472516639e+01  +1.46490067952339871e+02  +3.45690711624319079e+02  +2.91867761841924278e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.29833366330917457e+01  -3.36262197318481313e+01  1.06018953405609935e+01   +9.88429098651563809e-01  +4.08501472779165653e-01  +1.46883261490291694e+01  +1.46540838502210420e+02  +3.49370305122595653e+02  +2.46594987413456401e+01  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.34131933713542466e+01  -3.42682700065511696e+01  1.13848350759966639e+01   +9.82202535423728151e-01  +5.31791824691371651e-01  +1.58737367410086510e+01  +1.46415254619189568e+02  +3.51278221515003963e+02  +1.25646982218028086e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.38821279949133398e+01  -3.49686884880453874e+01  1.22389511510173943e+01   +9.78297675198996353e-01  +6.67269123953141863e-01  +1.69428875318525911e+01  +1.46455713299581447e+02  +3.53105511180839699e+02  +2.18459725834568360e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.44292183890656105e+01  -3.57858433831219855e+01  1.32354199052082482e+01   +9.76799340717217746e-01  +8.20610290271746590e-01  +1.80071948433443083e+01  +1.46575230019556216e+02  +3.54426238036796349e+02  +3.03713204961815961e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.51716982097008426e+01  -3.68948393121545095e+01  1.45877703573244037e+01   +9.78694449615625017e-01  +1.02636586848230427e+00  +1.92146717992293361e+01  +1.46712227536514206e+02  +3.55449248217889590e+02  -3.16875371795096727e+00  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.61486453421156142e+01  -3.83540444819341388e+01  1.63671788469509281e+01   +9.81297270689889589e-01  +1.30013943425885659e+00  +2.05506607163789887e+01  +1.46765711250803662e+02  +3.56289677059191206e+02  -1.21380038487870451e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -2.77899165245724333e+01  -4.08055091671639190e+01  1.93565851095234862e+01   +9.83642385199817615e-01  +1.77605853087338317e+00  +2.24470527919720162e+01  +1.46755361101090728e+02  +3.57172484377784087e+02  -5.03410706796101067e+02  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -3.47067022220690404e+01  -5.11366817692037188e+01  3.19547972160792639e+01   +9.86237745150811862e-01  +4.12136919531916135e+00  +2.79824198296257478e+01  +1.46642547859572403e+02  +3.58595358234005289e+02  -4.05030726139261606e+03  
-1.23266458580457151e+08  8.13542169322802424e+07   -5.67730564278174552e+03  -1.83304234215722204e+01  -3.43523236512868948e+01  8.87578282631866600e+00   +9.79937760002642655e-01  +1.88297940792401169e-01  +1.14549069395416261e+01  +1.46472381133814878e+02  +1.90179446291568333e+00  +1.79869717695173080e+02  
