#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.25782667951150238e+01  -2.28393217765981369e+01  1.20818491165428377e+01   +8.44075829474572381e-01  +8.92098671824152617e-02  +1.27029997043582323e+01  +1.46572181202255535e+02  +2.18372494200057531e+02  +5.15681292833991094e+01  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.22265691071114553e+01  -2.26478389934661841e+01  1.29981695190315012e+01   +8.32019361443143812e-01  +8.98002444943158534e-02  +1.63734536844576510e+01  +1.46493206357588491e+02  +2.06853839758662247e+02  +5.05346559416261130e+01  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.19100411879082451e+01  -2.24755044886474273e+01  1.38228578812713003e+01   +8.28794259745843642e-01  +8.84591696758171009e-02  +1.92634902034578168e+01  +1.46462748999932245e+02  +1.98595132681074176e+02  +5.43360474999334642e+01  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.15231737311043219e+01  -2.22648734272022821e+01  1.48308103240088318e+01   +8.31858058777679710e-01  +8.50335088040823639e-02  +2.24699771924656666e+01  +1.46451928062498752e+02  +1.89818014879549082e+02  +6.41752764775532683e+01  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.11011365055000368e+01  -2.20350940874439409e+01  1.59303948069952277e+01   +8.42793959385203406e-01  +7.88524746816016142e-02  +2.56901619331434823e+01  +1.46460229827199555e+02  +1.80878210657844079e+02  +8.08433804881983065e+01  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.06087597422950424e+01  -2.17670181910592113e+01  1.72132433704793577e+01   +8.65220842343169205e-01  +6.77767864959649829e-02  +2.91817283428164025e+01  +1.46485434805694410e+02  +1.69450549725876783e+02  +1.08545874956251879e+02  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -9.94053413508826367e+00  -2.14032009031085018e+01  1.89542521352078204e+01   +9.09922397720042020e-01  +4.83542487793587189e-02  +3.35659276406496261e+01  +1.46529247724458315e+02  +1.42301841234724094e+02  +1.68518445081504723e+02  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -9.06128991507934245e+00  -2.09244939452786234e+01  2.12450531414294801e+01   +9.50959731510465756e-01  +6.11262599348157756e-02  +3.88084981981730266e+01  +1.46554021731294000e+02  +7.33520711380444226e+01  +2.97352016765832218e+02  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -7.58415962546435729e+00  -2.01202662561244274e+01  2.50935988318818666e+01   +9.53543621280047660e-01  +1.63965870313102891e-01  +4.67098896285607097e+01  +1.46351636407292943e+02  +3.76968984024540603e+01  +1.06132685304521459e+02  
-1.23272449613499731e+08  8.13518094570891559e+07   -1.08712838999599153e+04  -1.35911054780119933e+00  -1.67310209946888939e+01  4.13124699559312134e+01   +9.62331492752566908e-01  +1.10831588984763951e+00  +6.93432297304071881e+01  +1.46516633752301686e+02  +1.75457156801748724e+01  -2.76232858520374123e+01  
