#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.63111793777054430e+01  -1.95888046487183267e+01  1.18469886465006180e+01   +9.91734986059714885e-01  +3.27851668722595330e-02  +1.27968502747235622e+01  +1.46703604718680793e+02  +1.54569451264979545e+01  +1.42543149378511003e+00  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.62952846259366382e+01  -1.91817759599760471e+01  1.27602657147591785e+01   +9.89231051970039132e-01  +1.36015439525991964e-02  +1.63094784373699433e+01  +1.46784308256285556e+02  +3.06514828490302818e+02  +4.98027679346699870e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.62809793493447081e+01  -1.88154501401079983e+01  1.35822150761918827e+01   +9.71523655070839487e-01  +2.07415830586488610e-02  +1.90616966048429006e+01  +1.46619959499352490e+02  +2.73449885382482591e+02  +6.87614512717773465e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.62634951223990214e+01  -1.83677185824914950e+01  1.45868198512762994e+01   +9.49351904973526728e-01  +3.57829367366526777e-02  +2.21468619261828366e+01  +1.46582278437074194e+02  +2.57090829632032921e+02  +7.57717622548557301e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.62444214202764527e+01  -1.78792841560007609e+01  1.56827523331865706e+01   +9.33645883431044266e-01  +5.03818707278710434e-02  +2.52702068100108299e+01  +1.46567159811587345e+02  +2.57532259810560163e+02  +7.21613693599386181e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.62221687678001203e+01  -1.73094439917615723e+01  1.69613402287485577e+01   +9.25337993230254674e-01  +6.50182059370526533e-02  +2.86821025246308281e+01  +1.46563161408478095e+02  +2.64773478126314387e+02  +6.95986237086322035e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.61919687394393854e+01  -1.65360894831512439e+01  1.86965666584398207e+01   +9.26682635808788291e-01  +8.42957668793569981e-02  +3.29939668843467473e+01  +1.46563258322638347e+02  +2.79416559796005799e+02  +7.45219670870023236e+01  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.61522318600173662e+01  -1.55185177612955538e+01  2.09797593290862245e+01   +9.34179022560557293e-01  +1.15613115960733356e-01  +3.82334995201513195e+01  +1.46501743567599078e+02  +2.94847659327236329e+02  +1.02940422299769153e+02  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.60854739025883724e+01  -1.38089972685779916e+01  2.48155230157721682e+01   +9.30005463979100222e-01  +2.17895801443578729e-01  +4.61912919545089480e+01  +1.46360147584264041e+02  +3.13688390252036129e+02  +1.97346724573980538e+02  
-1.23265727267474413e+08  8.13428228951953202e+07   -9.73302545769899916e+03  -1.58041367962804760e+01  -6.60458947783968497e+00  4.09805271239486828e+01   +9.49527281238344512e-01  +1.12625863807677051e+00  +6.91499695228371110e+01  +1.46463448586585059e+02  +3.38525105743927895e+02  -3.42255503222656472e+01  
