#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.20005239453720520e+01  -1.82026356527947897e+01  9.91359327254112266e+00   +8.08884274065479247e-01  +2.07215034341541982e-01  +6.23887447489594926e+00  +1.46726045269765137e+02  +2.65754424917486517e+02  +8.25928363835957100e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.23778598596712044e+01  -1.76652265003913556e+01  1.06677875516847980e+01   +7.72560133537946281e-01  +2.44040664499148907e-01  +9.16162094373414426e+00  +1.46638073252964517e+02  +2.62705942901988749e+02  +8.33647437467724330e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.27174621825404373e+01  -1.71815582632282648e+01  1.13465624029141043e+01   +7.48943124592872489e-01  +2.70857903404340239e-01  +1.15599305084576667e+01  +1.46598768205795722e+02  +2.61379821701806463e+02  +8.72550517363832370e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.31325316882694985e+01  -1.65904081955844873e+01  1.21761761099721486e+01   +7.27295285197103514e-01  +2.99294344710083426e-01  +1.42775715366169731e+01  +1.46566042780245823e+02  +2.60768185993296754e+02  +9.61063828170567547e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.35853347854284756e+01  -1.59455172127003628e+01  1.30812092449445565e+01   +7.09436810583307431e-01  +3.27600953607944556e-01  +1.70433136644981751e+01  +1.46534376495617920e+02  +2.60874152748079098e+02  +1.10508038689166824e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.41136050654472811e+01  -1.51931443993355533e+01  1.41370812357457023e+01   +6.93383242190517612e-01  +3.59464390228741493e-01  +2.00730386880451732e+01  +1.46496172075397453e+02  +2.61699305052067928e+02  +1.32894314981213256e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.48305433026156663e+01  -1.41720670097690267e+01  1.55700503661186840e+01   +6.77133971645725974e-01  +4.03154441211110548e-01  +2.39230365199744739e+01  +1.46443906135599519e+02  +2.63711964039600048e+02  +1.71750351654216843e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.57738830883635330e+01  -1.28285441287604378e+01  1.74555360639778741e+01   +6.62467995594095527e-01  +4.63070871189579680e-01  +2.86504101962696538e+01  +1.46378434181281449e+02  +2.67548675567295845e+02  +2.35266549502566562e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.73586939284199566e+01  -1.05714256886660110e+01  2.06231520363813026e+01   +6.58062986467231492e-01  +5.73537126603643643e-01  +3.59167964784862690e+01  +1.46524259941106720e+02  +2.74262993217992289e+02  +7.27478164908696634e+00  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.40375396115148732e+01  -1.05928369112520571e+00  3.39723907772243550e+01   +6.87435887424808878e-01  +1.33110591574660142e+00  +5.80864873242765611e+01  +1.46385792208134831e+02  +2.98110755840295440e+02  -2.30634880059676533e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.71469944769271230e+01  -2.14322680235309733e+01  7.44717845257363997e+00   +8.86551137500257491e-01  +3.10564830088419341e-01  +3.04950571691268435e-01  +1.47596253187945763e+02  +3.05729315195951358e+02  +2.58181529076420816e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.79202127398074325e+01  -2.11432921304149382e+01  8.01164851479673779e+00   +8.66304852751606180e-01  +3.75821969667139766e-01  +2.26554777931325191e+00  +1.46570847369932721e+02  +3.05259800715254698e+02  +3.09810037921846686e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.86161091763997035e+01  -2.08832138266105041e+01  8.51967157079752546e+00   +8.56349696463224563e-01  +4.28095150460719553e-01  +3.91805243069161202e+00  +1.46581342313852247e+02  +3.03208447174544176e+02  +3.52224903847921325e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.94666492655680443e+01  -2.05653403441828644e+01  9.14058863924293519e+00   +8.46746839935631601e-01  +4.91841665298999364e-01  +5.76575285781814806e+00  +1.46576308227621354e+02  +3.03496363859585529e+02  +3.90991342153119845e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.03945111810244128e+01  -2.02185692724436201e+01  9.81795271391065327e+00   +8.31792996507890736e-01  +5.51312074746511116e-01  +7.61545184151120580e+00  +1.46483731182877591e+02  +3.02744988792696233e+02  +8.92000642865847624e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.14770167490568440e+01  -1.98140030220811667e+01  1.06082108010229952e+01   +8.15204421839930804e-01  +6.22902103031896526e-01  +9.59032158339764962e+00  +1.46430347032637769e+02  +3.02474306251438122e+02  +1.45173024453647230e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.29461314485294281e+01  -1.92649488251607011e+01  1.16807039192468807e+01   +7.97261188905681428e-01  +7.19307960859385531e-01  +1.20141423244090824e+01  +1.46398799566772908e+02  +3.02527586359769543e+02  +2.17144595625587158e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.48791771057301929e+01  -1.85425090923706080e+01  1.30918790748046288e+01   +7.78825500947663674e-01  +8.47782041581421786e-01  +1.48549446876189535e+01  +1.46386195413168508e+02  +3.02841240231650147e+02  +3.00754424012693391e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.81266938098274792e+01  -1.73288103412832548e+01  1.54626533361416438e+01   +7.55532851001408545e-01  +1.07418144394834880e+00  +1.89758844471033328e+01  +1.46392165760559834e+02  +3.03519531374322412e+02  -2.11865586114931617e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -5.18126570628089169e+01  -1.22139370331294046e+01  2.54537734374904971e+01   +7.00736984223777948e-01  +2.24140139660576931e+00  +3.12274435157857972e+01  +1.46460435517623552e+02  +3.05766365575526891e+02  -1.64431236415499643e+03  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.47370231664593518e+01  -1.78323570084674721e+01  7.62454193199853059e+00   +8.31651198355711774e-01  +2.38581741550787679e-01  +1.54032848232888453e+00  +1.46738578543815692e+02  +2.78331599454125580e+02  +1.40002757371688631e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.53248590208421369e+01  -1.72664648834234740e+01  8.20265533879277520e+00   +7.87585114380697227e-01  +2.89405005567980100e-01  +3.74573402371188813e+00  +1.46559228792836791e+02  +2.74096427086604820e+02  +1.53093239921080425e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.58539112897866445e+01  -1.67571619708838746e+01  8.72295740490759464e+00   +7.56307941076517221e-01  +3.27841542246034845e-01  +5.62842273973038676e+00  +1.46501985816396115e+02  +2.71747621339442276e+02  +1.65612947117092233e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.65005307296077106e+01  -1.61346806333354778e+01  9.35888215238126264e+00   +7.25093776907669518e-01  +3.69739406609878807e-01  +7.79689750359653289e+00  +1.46459644302483554e+02  +2.69988946907312027e+02  +1.83268691905720175e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.72059337548670541e+01  -1.54556100832826786e+01  1.00526182405343558e+01   +6.97140321025508380e-01  +4.11718479481645638e-01  +1.00208081816582411e+01  +1.46426146924810411e+02  +2.68956242096366282e+02  +2.05875716688349115e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.80289039510029525e+01  -1.46633611082210802e+01  1.08619770100463011e+01   +6.70179915717771579e-01  +4.57814156256512950e-01  +1.24652237665115049e+01  +1.46394930022954270e+02  +2.68511737727132072e+02  +2.36570375721783051e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.91457920743302452e+01  -1.35881660706374845e+01  1.19603924829553616e+01   +6.40444477021253067e-01  +5.17504653966511241e-01  +1.55847018754337157e+01  +1.46368247447616568e+02  +2.68779066119016534e+02  +2.84971820673468869e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.06153817102872097e+01  -1.21734357580274857e+01  1.34056759999409767e+01   +6.15817446154042658e-01  +5.84817062412438360e-01  +1.94553420533403880e+01  +1.46455098815112478e+02  +2.68960424889058061e+02  +3.58945033416489252e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.30842922986949119e+01  -9.79668883284269398e+00  1.58337523084768002e+01   +5.90254187782267903e-01  +7.19776034817312227e-01  +2.52506173990715048e+01  +1.46438147019444386e+02  +2.71724209974862163e+02  +1.38679660107120895e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -4.34889869212702251e+01  2.19601780436082805e-01   2.60663596087349276e+01   +5.40021693579928685e-01  +1.41708949348803537e+00  +4.49932192096902739e+01  +1.46347865754617573e+02  +2.83354341379543598e+02  -4.67873137363135470e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.13854271686282615e+01  -2.31628686951003360e+01  1.22123134132431410e+01   +9.26260046296901507e-01  +2.17532119751662922e-01  +9.64861805416009588e+00  +1.46489228926316230e+02  +3.11536524589301848e+02  +1.94629811591603470e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.17154479462548089e+01  -2.30070159305665598e+01  1.31433323185946627e+01   +9.18822287898510615e-01  +2.57541150013943509e-01  +1.26143482255820967e+01  +1.46431267529402191e+02  +3.13565345031886750e+02  +2.27823468127378447e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.20124666461187033e+01  -2.28667484424861591e+01  1.39812493334110322e+01   +9.15813433066060667e-01  +2.90122751969560777e-01  +1.49476958839093168e+01  +1.46419168476713878e+02  +3.15388642151260797e+02  +2.56919325824382724e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.23754895015079072e+01  -2.26953104014990039e+01  1.50053701292977060e+01   +9.15846607109706667e-01  +3.27979947811013750e-01  +1.75089381694025299e+01  +1.46428543376553307e+02  +3.17381002865367122e+02  +2.93109450069198033e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.27715144346597640e+01  -2.25082870840584697e+01  1.61225928157195355e+01   +9.20704266882244826e-01  +3.70036384812807539e-01  +2.00325731424156146e+01  +1.46489974845853794e+02  +3.18458119575825435e+02  +3.34609104405206381e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.32335435233369338e+01  -2.22900932137111809e+01  1.74260192832116694e+01   +9.25043771699752493e-01  +4.34401730109440165e-01  +2.26536211308348676e+01  +1.46556190438089459e+02  +3.20906767170104331e+02  +2.35947372890467939e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.38605830008273756e+01  -2.19939729610970005e+01  1.91949552033795605e+01   +9.24161552492533178e-01  +5.11003780793873985e-01  +2.59070927501281609e+01  +1.46432641921405292e+02  +3.22839856754045684e+02  +9.31117641473395423e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.46856349448937458e+01  -2.16043410497625601e+01  2.15225024667583646e+01   +9.18915419751461848e-01  +6.32435032472044911e-01  +2.97624530136161809e+01  +1.46392143911730642e+02  +3.25335923446401864e+02  +1.84310464407953248e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.60717222109252518e+01  -2.09497594387206938e+01  2.54327818692347556e+01   +9.16587592131240747e-01  +8.63159791752928784e-01  +3.53177642221634329e+01  +1.46419365747155723e+02  +3.28586411430772785e+02  +3.19720991857828665e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.19130899749151560e+01  -1.81911655064728244e+01  4.19118164939566995e+01   +9.19472063671371687e-01  +2.24348617260313121e+00  +5.07832630122828164e+01  +1.46526267731618333e+02  +3.34535355380112776e+02  -1.11162762437218930e+03  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.64853934168776597e+01  -2.10580972926241863e+01  1.24202091799010965e+01   +8.58412864997320280e-01  +9.99075666368151177e-02  +1.22351962059426764e+01  +1.46624750358859842e+02  +2.41322317917616004e+02  +5.36853573130010915e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.64384885212926228e+01  -2.07403390355922426e+01  1.33672200673032329e+01   +8.47299988100370882e-01  +1.07822343625400774e-01  +1.57456959701725108e+01  +1.46564942480632396e+02  +2.40366827928202667e+02  +4.98258803880671266e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.63962741152660918e+01  -2.04543566042634950e+01  1.42195298659651517e+01   +8.45160982334835387e-01  +1.11737091339289690e-01  +1.85457755799854844e+01  +1.46546360048466511e+02  +2.41968964643563140e+02  +4.94754987615845039e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.63446787301225527e+01  -2.01048225215283551e+01  1.52612418421075002e+01   +8.49436936442054868e-01  +1.14326054183533601e-01  +2.16730019240222305e+01  +1.46544401925190925e+02  +2.46353201761783509e+02  +5.21541117637907021e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.62883928554205077e+01  -1.97235126130900227e+01  1.63976549069900628e+01   +8.60442622371436650e-01  +1.15764781690262969e-01  +2.48193516811459567e+01  +1.46554146990130363e+02  +2.53812525952581552e+02  +5.81575315781636490e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.62227260016014583e+01  -1.92786510532453015e+01  1.77234701493530551e+01   +8.78773787467762024e-01  +1.17322743740855384e-01  +2.82250785678697866e+01  +1.46566246755966148e+02  +2.65282660302919965e+02  +6.88460671165371139e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.61336066999898868e+01  -1.86749103648846102e+01  1.95227908354171049e+01   +9.06696204441958198e-01  +1.24144980185358092e-01  +3.24793876475440584e+01  +1.46542154083857326e+02  +2.82800307306783111e+02  +9.13811431193155812e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.60163444610272983e+01  -1.78805147223047527e+01  2.18903180539224422e+01   +9.28448847520491616e-01  +1.58115487895228002e-01  +3.76045539254309347e+01  +1.46429871771041832e+02  +3.01251228818657808e+02  +1.39988313788547032e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.58193438995701445e+01  -1.65459300427705891e+01  2.58677637810114049e+01   +9.39506030281252569e-01  +2.77860240922904567e-01  +4.52871466711651038e+01  +1.46376689235499526e+02  +3.24102656522482505e+02  +2.58472769184698450e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -1.49891272477150039e+01  -1.09216088933051907e+01  4.26298564880291835e+01   +9.67051614123203951e-01  +1.29386309012080836e+00  +6.66830096467632529e+01  +1.46491682582209052e+02  +3.44999950272190176e+02  -1.18988143610359174e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.55177352127735375e+01  -2.39044184004150182e+01  9.92793437645983445e+00   +9.16651063028015467e-01  +3.28926489902052921e-01  +4.59799197767458523e+00  +1.46557966072062158e+02  +3.17673197768877912e+02  +2.94450228657699483e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.61656258399497226e+01  -2.38056079209054445e+01  1.06832318174434100e+01   +9.14506861226706991e-01  +3.97756814538498926e-01  +6.98479742580351104e+00  +1.46598082194024840e+02  +3.16523101706937496e+02  +3.53034619850382512e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.67487274044082923e+01  -2.37166784893468332e+01  1.13629995143286280e+01   +9.13780698930531932e-01  +4.54838741152884474e-01  +8.86471817494838632e+00  +1.46568517634913036e+02  +3.17964999142703618e+02  +3.81824249705231651e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.74614070943020963e+01  -2.36079869618863043e+01  1.21938266994105611e+01   +9.05889036883335219e-01  +5.16766302559042767e-01  +1.09404233088802041e+01  +1.46468082632127818e+02  +3.17943001985287822e+02  +9.08418033219157905e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.82388758469135155e+01  -2.34894143864748166e+01  1.31001836285908499e+01   +8.97197984461416076e-01  +5.86906793411203997e-01  +1.29808761395725707e+01  +1.46422846996062049e+02  +3.18365958620780248e+02  +1.44351878478924164e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.91459227249601760e+01  -2.33510797151614184e+01  1.41576000459678575e+01   +8.89762042652559870e-01  +6.68389068841761746e-01  +1.51276762057389877e+01  +1.46404396140289577e+02  +3.18981747570257824e+02  +2.02761222253890651e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.03769149165949273e+01  -2.31633398040932299e+01  1.55926651838366510e+01   +8.82387612309489922e-01  +7.80710706393410891e-01  +1.77302414468504317e+01  +1.46403145012881481e+02  +3.19763566953372163e+02  +2.74200148029130332e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.19966414845353881e+01  -2.29163136053193028e+01  1.74809087862955934e+01   +8.75311583908755408e-01  +9.34673344612683255e-01  +2.07397626865187554e+01  +1.46418082481173712e+02  +3.20627677240941068e+02  +3.45842247194374579e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.47177821186753590e+01  -2.25013095913791012e+01  2.06531580384266071e+01   +8.66932734658041215e-01  +1.21413530269314407e+00  +2.50206506323179703e+01  +1.46452228992514648e+02  +3.21723062377954534e+02  -8.55619168661300051e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -4.61854462196938442e+01  -2.07523641040596836e+01  3.40219227438358942e+01   +8.46964481681120707e-01  +2.72168740163876954e+00  +3.70459024505678656e+01  +1.46523722497228135e+02  +3.23933643370953462e+02  -2.03949355838060933e+03  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.53065521056965750e+01  -2.80589843093552069e+01  9.77011940100434195e+00   +9.65017606509093184e-01  +4.26843341290644551e-01  +4.31187633477875654e+00  +1.46654577189710267e+02  +3.34499930766598936e+02  +3.48555732140005929e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.59381978784822280e+01  -2.82797558228410360e+01  1.05132772284913401e+01   +9.57486980032765445e-01  +5.21215709988065989e-01  +6.43866679278150666e+00  +1.46489256290889131e+02  +3.34797851598477337e+02  +1.12252735941477653e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.65066790739893108e+01  -2.84784501849782785e+01  1.11821192732296399e+01   +9.52473049992140330e-01  +6.01196730853520545e-01  +8.11074506623376301e+00  +1.46452755002861039e+02  +3.35450298332269654e+02  +1.70114019488260254e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.72014894240535270e+01  -2.87212988498126904e+01  1.19995928834653380e+01   +9.48965464629074384e-01  +6.93172855599548332e-01  +9.91777353085977786e+00  +1.46447178893872575e+02  +3.36126116760635512e+02  +2.30975523284488304e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.79594643513963064e+01  -2.89862246659956817e+01  1.28913822764497397e+01   +9.46574939671338211e-01  +7.90531723163228284e-01  +1.16622225505126274e+01  +1.46460377989439252e+02  +3.36692377175108390e+02  +2.86842874127604659e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.88437684332962192e+01  -2.92953047848758423e+01  1.39318032349315377e+01   +9.44819510550073627e-01  +9.03364822612615748e-01  +1.34678834556428768e+01  +1.46486180750359608e+02  +3.37184434821690047e+02  +3.36980050036852219e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.00438954015889479e+01  -2.97147706604989139e+01  1.53438031071568357e+01   +9.43481696619291821e-01  +1.05852723722385589e+00  +1.56151563614136979e+01  +1.46522147310274363e+02  +3.37655153942080176e+02  -1.08903728222214742e+01  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.16230098335530734e+01  -3.02666994442134794e+01  1.72016976758743354e+01   +9.42435967498147953e-01  +1.26985992665228431e+00  +1.80419409529144126e+01  +1.46555543806910975e+02  +3.38070112706966825e+02  -1.08175359772688950e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -3.42759220792528012e+01  -3.11939398008539541e+01  2.03229605513197313e+01   +9.40917242700287093e-01  +1.64852259875088869e+00  +2.14035196210897567e+01  +1.46580836716251724e+02  +3.38495291527585835e+02  -4.04778600002668270e+02  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -4.54560522575587953e+01  -3.51015955895530993e+01  3.34768540978396132e+01   +9.34425509254507847e-01  +3.61617214599178460e+00  +3.04301825398260668e+01  +1.46583791865427798e+02  +3.38962282870720458e+02  -3.32963564657505412e+03  
-1.23270362573031664e+08  8.13491914570545107e+07   -1.50025859822147504e+04  -2.15204435058811256e+01  -2.70675614583333015e+01  1.21874647338108826e+01   +9.67748454585651507e-01  +3.18662378830222359e-01  +9.13312437477785544e+00  +1.46573939634647303e+02  +3.37657461041416241e+02  +3.08988161292680957e+02  
