#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.65947041881478938e+01  -1.79875971250767392e+01  5.27858566661727213e+00   +7.96754876918069344e-01  +1.74966523502492421e-01  +9.32341622663472336e+00  +1.46602175379826662e+02  +2.51209490513346367e+02  +4.67985023474980864e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.73479603133930773e+01  -1.74793753431849446e+01  5.69609713974266807e+00   +7.71066132135388660e-01  +2.27409907374642395e-01  +1.07747372600082212e+01  +1.46595331665631903e+02  +2.58494991495143836e+02  +6.52582811920221388e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.80258908261137449e+01  -1.70219757394823290e+01  6.07185746555552353e+00   +7.54283271936270316e-01  +2.67870273162017170e-01  +1.17968835319191232e+01  +1.46569129205512809e+02  +2.62279795531007210e+02  +9.00090193242801462e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.88544725638834478e+01  -1.64629317794013552e+01  6.53112008599346172e+00   +7.32846501902307601e-01  +3.16867897214583638e-01  +1.28780616294379371e+01  +1.46504366200408498e+02  +2.64735976280754414e+02  +1.25516733239108547e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.97583799141776737e+01  -1.58530656411312023e+01  7.03213385374393507e+00   +7.10038729773337929e-01  +3.70996068084245123e-01  +1.39434924429528486e+01  +1.46440390769022343e+02  +2.66778239985786058e+02  +1.67989289081637594e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.08129384895209313e+01  -1.51415551464826894e+01  7.61664991611948761e+00   +6.85602499854687020e-01  +4.32771063426900970e-01  +1.51104561045839798e+01  +1.46383780075335011e+02  +2.68966663599429012e+02  +2.20495118514058419e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.22441251274867824e+01  -1.41759337608882792e+01  8.40992171505773989e+00   +6.57032128367180168e-01  +5.12734175510305534e-01  +1.66168850813262345e+01  +1.46340402417303949e+02  +2.71612411177041736e+02  +2.95663786565636769e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.41272654405997500e+01  -1.29053793061587907e+01  9.45370039787123062e+00   +6.40395372072029567e-01  +6.12187822235813695e-01  +1.84837725065478722e+01  +1.46538364251495864e+02  +2.73734105069097836e+02  +3.89980936283318158e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.72909411666295227e+01  -1.07708478222132555e+01  1.12072485849978918e+01   +6.02821428002018767e-01  +7.80152894068975811e-01  +2.14825125746823105e+01  +1.46384319316041228e+02  +2.76066278798630663e+02  +2.10638967202667089e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -5.06235745834693134e+01  -1.77532228272848869e+00  1.85972016593173990e+01   +5.13100495171095461e-01  +1.56081021663070230e+00  +3.28647636808639376e+01  +1.46342759385132268e+02  +2.82532348373323657e+02  -7.89459141591302682e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.12230054840864106e+01  -1.45701254663819366e+01  6.84881709581137432e+00   +6.27423909020416892e-01  +2.30261167473639727e-01  +1.16729893765255301e+01  +1.46555428349305657e+02  +1.91941791602793046e+02  +2.51649900489809511e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.15630540167114830e+01  -1.37990212492059250e+01  7.38711560195170236e+00   +5.75679060940468390e-01  +2.75328173319401293e-01  +1.43819073999962121e+01  +1.46555802696353254e+02  +1.98724448860103507e+02  +2.00516546377678139e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.18690976960740464e+01  -1.31050274537475175e+01  7.87158425747799662e+00   +5.39729824567422578e-01  +3.11398105873308850e-01  +1.64621034100770522e+01  +1.46559371673417445e+02  +2.03020241263058182e+02  +1.71068476045424319e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.22431510819616278e+01  -1.22568128148539053e+01  8.46371261423235488e+00   +5.05245834188109866e-01  +3.49906109895871453e-01  +1.87616254041692621e+01  +1.46561198599541513e+02  +2.06811060874108591e+02  +1.48742863269680981e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.26512093211117147e+01  -1.13314877542426924e+01  9.10967082160074781e+00   +4.75732245222038941e-01  +3.86366995145526915e-01  +2.11002336278125640e+01  +1.46554084316055480e+02  +2.09911584919816136e+02  +1.36298027119116654e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.31272772667868125e+01  -1.02519418501962765e+01  9.86328873019720653e+00   +4.48598034561228487e-01  +4.23423893043375854e-01  +2.37128462211766404e+01  +1.46544949991146296e+02  +2.12742070935103612e+02  +1.33294945687281881e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.37733694787744483e+01  -8.78684383756185738e+00  1.08860558918638244e+01   +4.20262342959243973e-01  +4.67087221358361782e-01  +2.71714537288163918e+01  +1.46527969518097166e+02  +2.15827210509993648e+02  +1.44448808226365571e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.46234908103371275e+01  -6.85908329462183275e+00  1.22318021572146396e+01   +3.92747346295174271e-01  +5.17245373068372483e-01  +3.16777129396719808e+01  +1.46487729112219114e+02  +2.19259049235143578e+02  +1.80316670109458244e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.60516946473624316e+01  -3.62044558248258852e+00  1.44926558830040140e+01   +3.61838683587157428e-01  +5.92307820004636665e-01  +3.92580763672770843e+01  +1.46349911039420675e+02  +2.24942892175576276e+02  +2.83401745239366790e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.20705536748262006e+01  1.00280990615327923e+01   2.40205394416877986e+01   +3.86964101395262550e-01  +9.09869676242612724e-01  +6.84090406738544488e+01  +1.46353078163192379e+02  +2.53745645876238342e+02  +2.83456843368381499e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.41890249593965976e+01  -1.75517383198134844e+01  7.90309035347252209e+00   +7.77009479599786945e-01  +1.29031786149859939e-01  +1.19815293871082922e+01  +1.46456009237699448e+02  +2.18651752118117997e+02  +1.06155143329689814e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.47572288362763011e+01  -1.70099889375168232e+01  8.52248680250985835e+00   +7.51914942498610794e-01  +1.64977260068319198e-01  +1.45061547246566427e+01  +1.46414164789700834e+02  +2.31299290575944269e+02  +4.09277969820795651e+00  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.52686123254680339e+01  -1.65224144934498298e+01  9.07994360664346445e+00   +7.34306444537534242e-01  +1.98810670852268112e-01  +1.63453589864227773e+01  +1.46430322235834524e+02  +2.38513540407008747e+02  +1.08843052219190053e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.58936365900357046e+01  -1.59264901729235042e+01  9.76127970058453442e+00   +7.16774903229373650e-01  +2.43017900128946085e-01  +1.82842547985941692e+01  +1.46492082561749697e+02  +2.45494662064583281e+02  +2.76468739979653044e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.65754812422913460e+01  -1.52763909141675125e+01  1.05045554394293390e+01   +7.04515259313762909e-01  +2.85899498307061795e-01  +2.01558115070162494e+01  +1.46550238603710056e+02  +2.52350920643386303e+02  +5.25459649551178529e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.73709666699229288e+01  -1.45179417789521867e+01  1.13717104680816163e+01   +6.94079905320656110e-01  +3.27592305879048140e-01  +2.21499885567285837e+01  +1.46538511661626245e+02  +2.57426801114599016e+02  +9.03410682636085198e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.84505540359943581e+01  -1.34886179525885321e+01  1.25485637212525543e+01   +6.75162756132540953e-01  +3.89725615974726325e-01  +2.46924715080474506e+01  +1.46456461970101287e+02  +2.61724825071966791e+02  +1.51174112609834935e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.98710637281936187e+01  -1.21342444968468808e+01  1.40970548438459033e+01   +6.50823238373854362e-01  +4.77088241751440878e-01  +2.78649125870942385e+01  +1.46366262792231652e+02  +2.66726961963897509e+02  +2.41328294738445749e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.22575200110883600e+01  -9.85889709120090707e+00  1.66985199298027247e+01   +6.34992880605390497e-01  +6.22386721456810621e-01  +3.28140147484386162e+01  +1.46523630778783428e+02  +2.73419578374844832e+02  +4.85988857594746477e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -4.23147286318590758e+01  -2.69933024550020662e-01  2.76618370777636073e+01   +5.93849184766857441e-01  +1.41373452912683062e+00  +4.98724267342799124e+01  +1.46360014724456363e+02  +2.88858930610909056e+02  -4.00965541988429550e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.57053827696902069e+01  -1.51550509432535065e+01  6.46938043306482968e-01   +6.35930895990269196e-01  +2.66315174948494549e-01  +4.14498787107586608e+00  +1.46374631362198585e+02  +2.27630537197711249e+02  +3.00633132189071034e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.63902295550540309e+01  -1.44289409935291548e+01  7.08168930023356236e-01   +5.92923101368246774e-01  +3.19976791636989777e-01  +4.33160327535007106e+00  +1.46345260063147322e+02  +2.30285209398921950e+02  +2.96395370159307959e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.70065916618814725e+01  -1.37754420387772409e+01  7.63276728068543187e-01   +5.62135779869167407e-01  +3.61041288521328274e-01  +4.42124084519231975e+00  +1.46326443580518173e+02  +2.32265775536683293e+02  +3.01258735546154185e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.77599231257816825e+01  -1.29767210940804549e+01  8.30630703457103547e-01   +5.30210049910751491e-01  +4.05293345178346809e-01  +4.49449631048629694e+00  +1.46332736184841337e+02  +2.34272825845355698e+02  +3.14234285800286102e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.85817392682182714e+01  -1.21053891544112329e+01  9.04107767517351779e-01   +5.01193673964722919e-01  +4.44463295778496748e-01  +4.57293562688520527e+00  +1.46271718031919875e+02  +2.36181610778280685e+02  +3.35027792720063701e+02  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -2.95405247677276321e+01  -1.10888352247971422e+01  9.89831008920974753e-01   +4.73901679522626518e-01  +4.90048244854037363e-01  +4.67365362059322109e+00  +1.46379282995774275e+02  +2.35237857852923980e+02  +7.59100376168526836e+00  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.08417336599188943e+01  -9.70922632032087485e+00  1.10616969368303564e+00   +4.46343595234470369e-01  +5.58422876862050277e-01  +4.79815633813911457e+00  +1.46582707405229485e+02  +2.37665744763725002e+02  +5.84434248553043361e+01  
-1.23261439977996007e+08  8.13487295588267148e+07   -5.94597567880603128e+03  -3.25538506233284579e+01  -7.89395144600999998e+00  1.25924691047522042e+00   +4.07658818009697832e-01  +6.29657159881168771e-01  +5.02743955840296675e+00  +1.46469932996099260e+02  +2.38236387007560779e+02  +1.38636986747695460e+02  
