#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -9.15416538647904687e+00  -3.14036322529147043e+01  8.17491609267765895e+00   +9.22092665133345979e-01  +1.05171734459374555e-01  +1.12040072441063643e+01  +1.46637185209356062e+02  +7.52467267125793740e+01  +3.16658176105383689e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -8.53592592428139518e+00  -3.18845566576580310e+01  8.79660064637336703e+00   +8.96197869611325526e-01  +1.62657780378322903e-01  +1.32679411133678382e+01  +1.46497104127960966e+02  +7.36943721436210808e+01  +5.87569372773293708e+00  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -7.97951040830350600e+00  -3.23173886219270230e+01  9.35611674469950572e+00   +8.76959921102798079e-01  +2.04593584783517940e-01  +1.47832086064034645e+01  +1.46389533324335929e+02  +6.96802083024093974e+01  +5.35221286580870625e+01  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -7.29944699988608647e+00  -3.28464054671446846e+01  1.00399697537647850e+01   +8.52173796913141768e-01  +2.67053789476328352e-01  +1.63939988517300890e+01  +1.46392629210121925e+02  +6.72111822312919571e+01  +1.09435659492858932e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -6.55755964524890267e+00  -3.34235147528366809e+01  1.07859912181996354e+01   +8.36937471475726613e-01  +3.27922726276708654e-01  +1.79449924591009662e+01  +1.46448934615288408e+02  +6.64350872203363139e+01  +1.68791333486720134e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -5.69202439817218675e+00  -3.40968089194773398e+01  1.16563495933736263e+01   +8.25430660124336524e-01  +3.94109669884835145e-01  +1.95835042780765392e+01  +1.46512189149510277e+02  +6.52299869161351040e+01  +2.38496509227488019e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -4.51736941999664410e+00  -3.50105652884896585e+01  1.28375502453954731e+01   +8.12912562381995829e-01  +4.88448135996258304e-01  +2.16056253692534561e+01  +1.46612525993522610e+02  +6.29563838214767273e+01  +3.33317536146884720e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -2.97177076450251043e+00  -3.62128763003479790e+01  1.43917616296347433e+01   +7.82089747063015817e-01  +6.09798890117452475e-01  +2.41659894724347275e+01  +1.46744322002984489e+02  +6.19314635314997162e+01  +9.35866816260289340e+01  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  -3.75165023272366227e-01  -3.82327588002699557e+01  1.70028367551567179e+01   +7.61821093429284613e-01  +8.19748242734320787e-01  +2.78872315910578088e+01  +1.46843735868427842e+02  +6.03248570073661838e+01  +2.73015971531698369e+02  
-1.23269791518738657e+08  8.13541161609634459e+07   -6.96581566379763535e+03  1.05676734576261069e+01   -4.67451207642268542e+01  2.80066533555707551e+01   +6.99799466572670337e-01  +1.89668241284650119e+00  +4.03252880488804735e+01  +1.46588010266429961e+02  +5.62469471656250093e+01  -1.08001652289018580e+03  
