#1:Elevation(deg)   2:Azimuth(deg)      3:v(qapex=-1)       4:v(qapex=0)        5:v(qapex=60)       6:v(qapex=120)      7:End               
+2.7495e+01         +1.9054e+02         +1.5456e+01         +2.5714e+01         +1.7616e+01         +1.3910e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.4743e+01         +2.5579e+01         +1.2546e+01         +1.5078e+01         -1                  
+2.7495e+01         +1.9054e+02         +2.2939e+01         +1.5035e+01         +1.5401e+01         +1.1275e+01         -1                  
+2.7495e+01         +1.9054e+02         +2.1480e+01         +1.4024e+01         +1.4812e+01         +1.3778e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.3357e+01         +1.5551e+01         +1.3412e+01         +1.4517e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.3439e+01         +1.6494e+01         +1.6830e+01         +1.2828e+01         -1                  
+2.7495e+01         +1.9054e+02         +2.1137e+01         +1.1962e+01         +2.3693e+01         +1.3807e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.4908e+01         +1.1923e+01         +2.4144e+01         +1.4031e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.4880e+01         +1.7106e+01         +1.2526e+01         +1.5410e+01         -1                  
+2.7495e+01         +1.9054e+02         +3.4040e+01         +2.2211e+01         +2.5661e+01         +1.3595e+01         -1                  
+2.7495e+01         +1.9054e+02         +2.1827e+01         +1.4693e+01         +1.4332e+01         +1.2909e+01         -1                  
+2.7495e+01         +1.9054e+02         +2.4055e+01         +1.8043e+01         +2.2239e+01         +1.1684e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.6304e+01         +1.2169e+01         +2.0253e+01         +1.2720e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.4669e+01         +1.9927e+01         +1.5500e+01         +1.4237e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.5241e+01         +3.1739e+01         +3.2198e+01         +1.4924e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.2575e+01         +2.1865e+01         +1.5794e+01         +1.1389e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.4879e+01         +1.6775e+01         +1.7806e+01         +1.5122e+01         -1                  
+2.7495e+01         +1.9054e+02         +1.1769e+01         +1.1248e+01         +2.1929e+01         +1.5690e+01         -1                  
