#Cummulative distribution of impact velocities
#This has been generated using 8801 NEAs in the MPC database
#1:Velocity    		 2:P(v<velocity)
1.121718487825978450e+01 0.000000000000000000e+00
1.233890336608576277e+01 4.760000000000000342e-02
1.346062185391174104e+01 1.435222222222222177e-01
1.458234034173771931e+01 2.675111111111110884e-01
1.570405882956369936e+01 3.738333333333333508e-01
1.682577731738967586e+01 4.734777777777777752e-01
1.794749580521565591e+01 5.544999999999999929e-01
1.906921429304163240e+01 6.276888888888888518e-01
2.019093278086761245e+01 6.879777777777777992e-01
2.131265126869359250e+01 7.386555555555556207e-01
2.243436975651956899e+01 7.816222222222222182e-01
2.355608824434554549e+01 8.185111111111110782e-01
2.467780673217152554e+01 8.468222222222222539e-01
2.579952521999750559e+01 8.731111111111111711e-01
2.692124370782348564e+01 8.958444444444444432e-01
2.804296219564945858e+01 9.159777777777777796e-01
2.916468068347543863e+01 9.321888888888888447e-01
3.028639917130141868e+01 9.439999999999999503e-01
3.140811765912739872e+01 9.559222222222223397e-01
3.252983614695337877e+01 9.667111111111111876e-01
3.365155463477935172e+01 9.748222222222223676e-01
3.477327312260533176e+01 9.815555555555556255e-01
3.589499161043131181e+01 9.873444444444445800e-01
3.701671009825729186e+01 9.917333333333334666e-01
3.813842858608327191e+01 9.946555555555557371e-01
3.926014707390924485e+01 9.963555555555556609e-01
4.038186556173522490e+01 9.978888888888889364e-01
4.150358404956120495e+01 9.990555555555556966e-01
4.262530253738718500e+01 9.995222222222223118e-01
4.374702102521316505e+01 9.997000000000001441e-01
4.486873951303913799e+01 1.000000000000000000e+00
