#1:v(qapex=-1)       2:End               
+3.2144e+00         -1                  
+4.0479e+00         -1                  
+4.8815e+00         -1                  
+5.7150e+00         -1                  
+6.5486e+00         -1                  
+7.3821e+00         -1                  
+8.2157e+00         -1                  
+9.0492e+00         -1                  
+9.8828e+00         -1                  
+1.0716e+01         -1                  
+1.1550e+01         -1                  
+1.2383e+01         -1                  
+1.3217e+01         -1                  
+1.4051e+01         -1                  
+1.4884e+01         -1                  
+1.5718e+01         -1                  
+1.6551e+01         -1                  
+1.7385e+01         -1                  
+1.8218e+01         -1                  
+1.9052e+01         -1                  
+1.9885e+01         -1                  
+2.0719e+01         -1                  
+2.1552e+01         -1                  
+2.2386e+01         -1                  
+2.3220e+01         -1                  
+2.4053e+01         -1                  
+2.4887e+01         -1                  
+2.5720e+01         -1                  
+2.6554e+01         -1                  
+2.7387e+01         -1                  
+2.8221e+01         -1                  
+2.9054e+01         -1                  
+2.9888e+01         -1                  
+3.0722e+01         -1                  
+3.1555e+01         -1                  
+3.2389e+01         -1                  
+3.3222e+01         -1                  
+3.4056e+01         -1                  
+3.4889e+01         -1                  
+3.5723e+01         -1                  
+3.6556e+01         -1                  
+3.7390e+01         -1                  
+3.8223e+01         -1                  
+3.9057e+01         -1                  
+3.9891e+01         -1                  
+4.0724e+01         -1                  
+4.1558e+01         -1                  
+4.2391e+01         -1                  
+4.3225e+01         -1                  
+4.4058e+01         -1                  
