#1:v(qapex=-1)       2:End               
+1.1471e+01         -1                  
+1.1698e+01         -1                  
+1.1886e+01         -1                  
+1.2056e+01         -1                  
+1.2206e+01         -1                  
+1.2350e+01         -1                  
+1.2487e+01         -1                  
+1.2615e+01         -1                  
+1.2743e+01         -1                  
+1.2863e+01         -1                  
+1.2982e+01         -1                  
+1.3101e+01         -1                  
+1.3214e+01         -1                  
+1.3327e+01         -1                  
+1.3439e+01         -1                  
+1.3549e+01         -1                  
+1.3658e+01         -1                  
+1.3767e+01         -1                  
+1.3875e+01         -1                  
+1.3982e+01         -1                  
+1.4090e+01         -1                  
+1.4197e+01         -1                  
+1.4303e+01         -1                  
+1.4410e+01         -1                  
+1.4517e+01         -1                  
+1.4624e+01         -1                  
+1.4731e+01         -1                  
+1.4838e+01         -1                  
+1.4946e+01         -1                  
+1.5054e+01         -1                  
+1.5162e+01         -1                  
+1.5272e+01         -1                  
+1.5381e+01         -1                  
+1.5492e+01         -1                  
+1.5603e+01         -1                  
+1.5714e+01         -1                  
+1.5827e+01         -1                  
+1.5942e+01         -1                  
+1.6056e+01         -1                  
+1.6172e+01         -1                  
+1.6289e+01         -1                  
+1.6406e+01         -1                  
+1.6526e+01         -1                  
+1.6647e+01         -1                  
+1.6768e+01         -1                  
+1.6893e+01         -1                  
+1.7017e+01         -1                  
+1.7144e+01         -1                  
+1.7273e+01         -1                  
+1.7402e+01         -1                  
+1.7535e+01         -1                  
+1.7669e+01         -1                  
+1.7805e+01         -1                  
+1.7944e+01         -1                  
+1.8084e+01         -1                  
+1.8228e+01         -1                  
+1.8374e+01         -1                  
+1.8523e+01         -1                  
+1.8674e+01         -1                  
+1.8828e+01         -1                  
+1.8986e+01         -1                  
+1.9147e+01         -1                  
+1.9312e+01         -1                  
+1.9480e+01         -1                  
+1.9653e+01         -1                  
+1.9829e+01         -1                  
+2.0010e+01         -1                  
+2.0196e+01         -1                  
+2.0386e+01         -1                  
+2.0584e+01         -1                  
+2.0785e+01         -1                  
+2.0995e+01         -1                  
+2.1210e+01         -1                  
+2.1431e+01         -1                  
+2.1662e+01         -1                  
+2.1901e+01         -1                  
+2.2148e+01         -1                  
+2.2405e+01         -1                  
+2.2674e+01         -1                  
+2.2955e+01         -1                  
+2.3249e+01         -1                  
+2.3556e+01         -1                  
+2.3880e+01         -1                  
+2.4222e+01         -1                  
+2.4584e+01         -1                  
+2.4969e+01         -1                  
+2.5379e+01         -1                  
+2.5821e+01         -1                  
+2.6298e+01         -1                  
+2.6815e+01         -1                  
+2.7383e+01         -1                  
+2.8013e+01         -1                  
+2.8717e+01         -1                  
+2.9521e+01         -1                  
+3.0452e+01         -1                  
+3.1567e+01         -1                  
+3.2951e+01         -1                  
+3.4785e+01         -1                  
+3.7519e+01         -1                  
+4.3039e+01         -1                  
