#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.39318556590120437e+01  -1.25200590438434052e+01  -2.41235486012586220e+00  +4.67359371868796947e-01  +3.65340569552546846e-01  +3.53871905326822978e+00  +1.46548818779765526e+02  +1.92205691611396361e+02  +9.05211237990141768e+01  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.37207569767968085e+01  -1.15607124785323041e+01  -2.59968215123098334e+00  +3.72147956356220444e-01  +4.57084340523133736e-01  +2.81117342250093349e+00  +1.46236129065798224e+02  +1.92002019561820333e+02  +3.36300191609587898e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.35307681628030991e+01  -1.06973005697523114e+01  -2.76827671322559121e+00  +3.20411009834694338e-01  +5.18648138523068125e-01  +1.99510247514033434e+00  +1.46414846536519462e+02  +1.89742134954396221e+02  +2.52851324091626878e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.32985596123663399e+01  -9.64201934791009840e+00  -2.97433673344122340e+00  +2.63342067963329152e-01  +5.86695760463375571e-01  +8.96139348656739609e-01  +1.46705062308089197e+02  +1.89513437681509060e+02  +1.64049404471216690e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.30452411937080601e+01  -8.49080346953677534e+00  -3.19912948276736842e+00  +2.13111464440874782e-01  +6.53212804068152186e-01  +5.09654238710981033e-01  +3.26684749402834996e+02  +8.91275219072028158e+00  +8.23586169123559273e+01  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.27497030386067340e+01  -7.14771827810123384e+00  -3.46138769031453775e+00  +1.65144675881245678e-01  +6.74199875696969930e-01  +2.30943051036116342e+00  +3.25756829433221185e+02  +8.16006363209040053e+00  +3.10584687516986380e+00  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.23486155423977895e+01  -5.32495980401013824e+00  -3.81730954341426632e+00  +1.25052000824777493e-01  +7.82532771839382635e-01  +5.14053544165222842e+00  +3.26501913013982460e+02  +7.22822891616985164e+00  +2.73400780042551617e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.18208688368597059e+01  -2.92659339073238201e+00  -4.28562777117706695e+00  +8.05437507645795359e-02  +8.54764059305992197e-01  +1.00807165302224249e+01  +3.26587015136450532e+02  +6.37985605245079856e+00  +1.84028550457745553e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.09342543715557241e+01  1.10266218357424606e+00   -5.07240239381857272e+00  +3.47005708045993178e-02  +9.35657425756950434e-01  +2.40123516881387467e+01  +3.26548201047621035e+02  +4.87336556423197109e+00  +9.95637245729500080e+01  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -7.19780769634608575e+00  1.80830963895807599e+01   -8.38809544637921078e+00  +9.02012349603969477e-02  +8.58164734276185559e-01  +1.43899179128708170e+02  +3.26528940266203733e+02  +1.44625852363363574e+01  +1.04810662917590435e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -1.03069137334041070e+01  -1.40153488094769791e+01  2.84347911738791437e+00   +5.93647016262175087e-01  +2.51959344899307824e-01  +1.11403539892047316e+01  +1.46599172631598407e+02  +1.82504422547535256e+02  +2.24974536517568851e+02  
-1.23267387774847016e+08  8.13479129058280289e+07   -3.46552733682456437e+03  -9.81697336460364767e+00  -1.31710245338299963e+01  3.06044674763000701e+00   +4.68206562540921856e-01  +3.59293878262444077e-01  +1.31225066434457318e+01  +1.46545605428480172e+02  +1.82964359856633479e+02  +9.69873721260317438e+01  
