#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.63189079935102370e+01  -2.53885506759745603e+01  9.00045246056444093e+00   +9.63539982649554094e-01  +4.03111439608704603e-01  +4.25099371055802333e+00  +1.46724390151385791e+02  +3.34214748083748532e+02  +1.15135771322674270e+01  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.70433447658977926e+01  -2.54151049846945298e+01  9.68928207048340617e+00   +9.57143861605040724e-01  +4.80800004876871134e-01  +6.28846861877004493e+00  +1.46520780588666327e+02  +3.32804517216268891e+02  +8.00567131465314787e+01  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.76953378610465890e+01  -2.54390038625425028e+01  1.03092287194104735e+01   +9.47046377616939661e-01  +5.50482253960766554e-01  +7.89659826441413593e+00  +1.46459636312194533e+02  +3.31767093134770619e+02  +1.31608014397532571e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.84922183106728966e+01  -2.54682136021344689e+01  1.10669412903213331e+01   +9.38091865602510233e-01  +6.29972387083732377e-01  +9.64459806517473162e+00  +1.46434779890285910e+02  +3.31002948954263729e+02  +1.87065920399385419e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.93615424375379561e+01  -2.55000787725984353e+01  1.18935368222240889e+01   +9.30625207483638084e-01  +7.13525903662119543e-01  +1.13460559700033716e+01  +1.46430107980762983e+02  +3.30428030367204883e+02  +2.40746488065451842e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -3.03757539188805268e+01  -2.55372548048063912e+01  1.28578982761106388e+01   +9.23660051349766031e-01  +8.10054834917682598e-01  +1.31252568687975479e+01  +1.46436895905600608e+02  +3.29946846925558475e+02  +2.94847482080920940e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -3.17521837864168752e+01  -2.55877079913743337e+01  1.41666745349566714e+01   +9.16122746465623417e-01  +9.42584439716691591e-01  +1.52695466494405139e+01  +1.46454250597974720e+02  +3.29488120058659433e+02  +3.49028171047317585e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -3.35632757173857570e+01  -2.56540937631742594e+01  1.58887485597540792e+01   +9.08329773405652241e-01  +1.12298738799657283e+00  +1.77329538603620307e+01  +1.46478428076701903e+02  +3.29084066050813021e+02  -3.48852112675927870e+01  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -3.66059101614134690e+01  -2.57656218597981344e+01  1.87818329214137236e+01   +8.98222923471343915e-01  +1.44664297805093267e+00  +2.12129911050173021e+01  +1.46507966921306178e+02  +3.28678818915582440e+02  -2.46005086981705659e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -4.94284410326731205e+01  -2.62356331241415965e+01  3.09741170169793847e+01   +8.71872561265571444e-01  +3.13795361676255569e+00  +3.09198800807546021e+01  +1.46549484979994787e+02  +3.28013916933797873e+02  -2.71084053686017160e+03  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.62528728903064170e+01  -3.14235068785152265e+01  6.43630947605913750e+00   +9.83460492686915488e-01  +5.10143448607663585e-01  +7.22512054195179165e-01  +3.26061071681173530e+02  +1.71485202748577962e+02  +1.09643923717232227e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.69722300393705972e+01  -3.19142885874306330e+01  6.92789731793923202e+00   +9.76154951403448989e-01  +6.53322575629423641e-01  +7.69997609239805980e-01  +1.46831871679369300e+02  +3.49997712859723379e+02  +2.09405204551690758e+02  
-1.23268180531669095e+08  8.13461943355079591e+07   -1.52116363056123919e+04  -2.76196514735283607e+01  -3.23559921254544918e+01  7.37032637563131576e+00   +9.72800299562090354e-01  +7.64908887185784314e-01  +1.99439451938548107e+00  +1.46626971411411574e+02  +3.49735848826221854e+02  +2.75459601736677769e+02  
