#Numerical normalized frequency of impact velocities
#This has been generated using 8801 NEAs in the MPC database
#1:Velocity    		 2:N(velocity_i,velocity_i+1)/Ntot
1.121718487825978450e+01 4.760000000000000342e-02
1.233890336608576277e+01 9.592222222222221428e-02
1.346062185391174104e+01 1.239888888888888846e-01
1.458234034173771931e+01 1.063222222222222069e-01
1.570405882956369936e+01 9.964444444444445215e-02
1.682577731738967586e+01 8.102222222222221770e-02
1.794749580521565591e+01 7.318888888888888666e-02
1.906921429304163240e+01 6.028888888888889186e-02
2.019093278086761245e+01 5.067777777777777992e-02
2.131265126869359250e+01 4.296666666666666690e-02
2.243436975651956899e+01 3.688888888888888773e-02
2.355608824434554549e+01 2.831111111111111328e-02
2.467780673217152554e+01 2.628888888888888595e-02
2.579952521999750559e+01 2.273333333333333456e-02
2.692124370782348564e+01 2.013333333333333294e-02
2.804296219564945858e+01 1.621111111111111017e-02
2.916468068347543863e+01 1.181111111111111077e-02
3.028639917130141868e+01 1.192222222222222121e-02
3.140811765912739872e+01 1.078888888888888953e-02
3.252983614695337877e+01 8.111111111111110605e-03
3.365155463477935172e+01 6.733333333333333358e-03
3.477327312260533176e+01 5.788888888888889424e-03
3.589499161043131181e+01 4.388888888888888354e-03
3.701671009825729186e+01 2.922222222222222322e-03
3.813842858608327191e+01 1.699999999999999905e-03
3.926014707390924485e+01 1.533333333333333163e-03
4.038186556173522490e+01 1.166666666666666763e-03
4.150358404956120495e+01 4.666666666666666619e-04
4.262530253738718500e+01 1.777777777777777863e-04
4.374702102521316505e+01 8.888888888888889315e-05
